city,year,month,lat,lon,records,avg_temp,avg_temp_max,avg_temp_min,avg_temp_range,avg_apparent_temp,avg_apparent_gap,avg_humidity,total_precipitation,avg_precipitation,rainy_days,heavy_rain_days,avg_wind,avg_wind_gust,windy_days,gusty_days,avg_sunshine_hour,sunny_days,low_sunshine_days,avg_shortwave,hot_days,extreme_hot_days,cold_days,freezing_days,avg_pm25,avg_pm10,avg_co,avg_no2,avg_so2,avg_ozone,avg_dust,good_air_days,polluted_days,dusty_days,ozone_high_days,climate_comfort_index,air_quality_score,tourism_comfort_index,pollution_index,summer_escape_index,winter_retirement_index
成都,2016,5,30.5728,104.0668,31,21.858064516129033,26.154838709677417,17.59032258064516,8.564516129032258,22.76451612903226,0.9064516129032262,68.80645161290323,127.8,4.12258064516129,22,2,12.72258064516129,25.451612903225808,0,1,8.682943458781363,19,5,16.937419354838706,4,0,0,0,,,,,,,,0.0,0.0,0.0,0.0,84.80853478675387,,,,,
成都,2016,6,30.5728,104.0668,30,26.09,30.876666666666665,21.633333333333333,9.243333333333334,29.06,2.9699999999999998,70.46666666666667,159.3,5.3100000000000005,20,1,11.993333333333334,25.176666666666666,0,1,9.406004537037036,19,3,18.916,22,2,0,0,,,,,,,,0.0,0.0,0.0,0.0,77.83146298515068,,,,47.837036305109045,
成都,2016,7,30.5728,104.0668,31,26.561290322580643,30.603225806451615,23.193548387096776,7.409677419354839,31.470967741935485,4.909677419354838,83.16129032258064,391.09999999999997,12.616129032258064,27,6,11.303225806451612,24.1,0,1,8.635249372759857,17,4,16.973225806451612,21,0,0,0,,,,,,,,0.0,0.0,0.0,0.0,72.05772015615128,,,,41.96718232222833,
成都,2016,8,30.5728,104.0668,31,27.606451612903225,31.59032258064516,24.23548387096774,7.354838709677419,32.75483870967742,5.148387096774194,78.6774193548387,197.6,6.374193548387097,28,1,9.641935483870967,21.822580645161292,0,0,9.93633987455197,26,2,18.01516129032258,25,6,0,0,,,,,,,,0.0,0.0,0.0,0.0,71.08685037861108,,,,40.04383729629731,
成都,2016,9,30.5728,104.0668,30,22.303333333333335,25.53666666666667,19.55666666666667,5.98,24.616666666666667,2.313333333333333,80.0,153.1,5.1033333333333335,24,1,9.763333333333332,19.853333333333335,0,0,5.542149074074074,11,12,10.368,2,0,0,0,,,,,,,,0.0,0.0,0.0,0.0,83.3968685687017,,,,,
成都,2016,10,30.5728,104.0668,31,18.603225806451615,21.483870967741936,16.329032258064515,5.15483870967742,19.187096774193545,0.5838709677419348,77.16129032258064,29.8,0.9612903225806452,17,0,11.538709677419355,22.612903225806452,0,1,4.71246370967742,7,13,7.668387096774193,2,0,0,0,,,,,,,,0.0,0.0,0.0,0.0,80.03351706480886,,,,,
成都,2016,11,30.5728,104.0668,30,12.733333333333333,16.12,9.626666666666667,6.493333333333333,11.53,-1.2033333333333334,75.43333333333334,14.0,0.4666666666666667,11,0,9.979999999999999,20.653333333333332,0,0,5.964166018518518,9,5,7.353,0,0,0,0,,,,,,,,0.0,0.0,0.0,0.0,70.78593040055377,,,,,
成都,2016,12,30.5728,104.0668,31,9.558064516129033,13.158064516129032,6.590322580645161,6.567741935483871,7.574193548387097,-1.9838709677419355,77.64516129032258,11.3,0.3645161290322581,9,0,10.696774193548388,19.91290322580645,0,0,5.601666487455197,7,8,7.103225806451613,0,0,0,0,,,,,,,,0.0,0.0,0.0,0.0,63.39120857012721,,,,,75.14951482310464
成都,2017,1,30.5728,104.0668,31,8.296774193548387,11.55483870967742,5.1,6.45483870967742,5.84516129032258,-2.4516129032258065,73.38709677419355,14.8,0.4774193548387097,15,0,11.319354838709677,21.725806451612904,0,0,5.332453494623656,7,9,7.668709677419354,0,0,0,0,,,,,,,,0.0,0.0,0.0,0.0,61.27465823516832,,,,,74.83184455469525
成都,2017,2,30.5728,104.0668,28,8.821428571428571,12.517857142857142,4.921428571428572,7.596428571428572,6.517857142857143,-2.3035714285714284,73.35714285714286,12.8,0.4571428571428572,16,0,12.007142857142856,23.389285714285712,0,1,4.937999503968254,5,8,9.31,0,0,0,0,,,,,,,,0.0,0.0,0.0,0.0,62.441902556220846,,,,,74.92002268664216
