city,year,lat,lon,records,avg_temp,avg_temp_max,avg_temp_min,avg_temp_range,avg_apparent_temp,avg_apparent_gap,avg_humidity,total_precipitation,avg_precipitation,rainy_days,heavy_rain_days,avg_wind,avg_wind_gust,windy_days,gusty_days,avg_sunshine_hour,sunny_days,low_sunshine_days,avg_shortwave,hot_days,extreme_hot_days,cold_days,freezing_days,avg_pm25,avg_pm10,avg_co,avg_no2,avg_so2,avg_ozone,avg_dust,good_air_days,polluted_days,dusty_days,ozone_high_days,climate_comfort_index,air_quality_score,tourism_comfort_index,pollution_index,summer_escape_index,winter_retirement_index,city_type
丽江,2017,26.855,100.2278,365,11.886027397260271,18.20794520547945,6.576986301369863,11.630958904109589,10.589863013698633,-1.296164383561644,71.73972602739725,1731.3,4.743287671232877,239,17,10.977534246575344,37.52986301369863,0,57,9.614295410958904,297,23,17.313945205479452,0,0,62,0,,,,,,,,0.0,0.0,0.0,0.0,67.0025799587387,,,,73.7074414392593,71.03725802990985,高原避暑型
丽江,2018,26.855,100.2278,365,11.798904109589042,18.30876712328767,6.306027397260274,12.002739726027396,10.325205479452054,-1.4736986301369863,69.06849315068493,1931.3,5.291232876712328,236,19,11.543561643835616,38.60931506849315,0,68,9.826627085235922,302,17,17.75945205479452,0,0,64,0,,,,,,,,0.0,0.0,0.0,0.0,67.24226620424233,,,,72.65353912689602,70.93384776718439,高原避暑型
丽江,2019,26.855,100.2278,365,12.361369863013698,19.08,6.537808219178083,12.542191780821916,10.777534246575344,-1.5838356164383562,66.51506849315068,1563.5,4.2835616438356166,225,17,12.447397260273974,41.0117808219178,0,97,9.940091225266364,303,13,17.90115068493151,0,0,77,0,,,,,,,,0.0,0.0,0.0,0.0,68.21987864228907,,,,72.09049985270968,68.33595158096294,高原避暑型
丽江,2020,26.855,100.2278,366,12.280874316939892,18.68633879781421,6.7098360655737705,11.976502732240435,10.845901639344262,-1.4349726775956286,69.05464480874316,1826.7,4.990983606557378,248,22,12.012841530054644,40.08989071038251,0,83,9.64807857468124,297,25,17.43912568306011,0,0,83,3,,,,,,,,0.0,0.0,0.0,0.0,68.04208467898883,,,,72.06371483614672,67.7226686410017,高原避暑型
丽江,2021,26.855,100.2278,365,12.602465753424656,19.174246575342465,6.862739726027398,12.311506849315068,11.14986301369863,-1.4526027397260275,67.41917808219178,1879.3,5.148767123287671,234,23,11.896438356164383,38.87780821917808,0,74,9.94848700152207,295,14,18.01060273972603,0,0,73,0,,,,,,,,0.0,0.0,0.0,0.0,68.68262517625655,,,,71.85212203425772,68.94397162535309,高原避暑型
丽江,2022,26.855,100.2278,365,11.77945205479452,18.438082191780826,6.31945205479452,12.1186301369863,10.437808219178082,-1.3416438356164384,71.26575342465753,2048.4,5.612054794520549,244,23,11.450410958904108,35.756986301369864,0,44,9.614238584474888,294,21,18.044219178082194,0,0,79,0,,,,,,,,0.0,0.0,0.0,0.0,67.06755492173562,,,,73.24078837408999,67.0082469249665,高原避暑型
丽江,2023,26.855,100.2278,365,12.71013698630137,19.716438356164385,6.876438356164384,12.840000000000002,11.19013698630137,-1.5199999999999998,67.08767123287672,1613.5,4.420547945205479,225,16,12.585205479452055,37.48657534246576,0,74,10.107459124809742,317,13,19.02846575342466,5,0,50,0,7.882009132420092,11.38332191780822,216.8794520547945,7.266312785388129,2.726301369863014,84.13504566210047,0.3426940639269406,365.0,0.0,0.0,92.0,68.45805305190366,94.7487171883891,76.34525229284928,5.251282811610903,72.1685243718311,77.36688733233053,高原避暑型
丽江,2024,26.855,100.2278,366,12.518032786885248,19.42513661202186,7.020218579234973,12.404918032786885,11.102185792349728,-1.4158469945355192,69.57103825136612,2026.1,5.535792349726775,235,22,13.17513661202186,37.351639344262296,0,70,10.075799620522162,316,14,18.71991803278689,0,0,60,0,7.645309653916211,10.809870218579237,230.60507741347905,5.212966757741348,2.282479508196721,80.47461293260473,1.1931921675774135,366.0,0.0,0.0,45.0,68.35311096403082,95.05435630913308,76.36348456756149,4.945643690866915,71.28001967224407,77.07191745957768,高原避暑型
丽江,2025,26.855,100.2278,365,12.33917808219178,19.47945205479452,6.98027397260274,12.49917808219178,11.103835616438356,-1.2353424657534249,72.69315068493151,1869.5,5.1219178082191785,250,12,12.514520547945208,35.47123287671233,0,36,9.781181339421614,304,21,18.14123287671233,0,0,57,0,11.18530821917808,13.12964611872146,279.1437214611872,7.745970319634703,3.1422031963470323,89.33812785388128,4.568493150684931,362.0,0.0,61.0,96.0,67.97409107894805,94.0533152959528,75.79785834404947,5.94668470404722,72.77401470716542,76.55001380067571,高原避暑型
乌鲁木齐,2016,43.8256,87.6168,366,8.661475409836065,14.063661202185791,3.443715846994536,10.619945355191255,5.6292349726775965,-3.0322404371584697,54.04644808743169,432.2,1.1808743169398908,119,2,14.163934426229508,26.521584699453552,3,7,10.12419769277474,306,14,16.054699453551915,37,2,151,109,,,,,,,,0.0,0.0,0.0,0.0,66.64946305200301,,,,66.1989104606306,48.61510955590832,北方大陆四季型
乌鲁木齐,2017,43.8256,87.6168,365,8.180821917808219,12.884657534246577,3.384109589041096,9.50054794520548,4.841917808219178,-3.3389041095890413,54.93150684931507,242.9,0.6654794520547945,105,0,17.829315068493152,32.22438356164383,27,31,9.834025555555556,302,20,16.06284931506849,46,8,148,122,,,,,,,,0.0,0.0,0.0,0.0,64.51776351749564,,,,64.77780065477859,42.338142161502304,北方大陆四季型
乌鲁木齐,2018,43.8256,87.6168,365,7.461095890410959,12.392876712328766,2.33013698630137,10.062739726027395,3.927945205479453,-3.533150684931506,52.43561643835616,265.7,0.7279452054794521,106,0,19.068493150684933,34.36410958904109,37,40,9.292363150684931,291,23,15.313287671232878,53,3,143,114,,,,,,,,0.0,0.0,0.0,0.0,64.98615062730076,,,,62.596992051649,40.97086826320421,北方大陆四季型
乌鲁木齐,2019,43.8256,87.6168,365,8.246301369863014,12.991506849315067,3.34,9.65150684931507,4.852602739726027,-3.3936986301369862,53.654794520547945,239.6,0.6564383561643835,97,0,17.972602739726028,32.34712328767124,29,29,9.40642791476408,291,20,15.338931506849317,51,11,142,114,,,,,,,,0.0,0.0,0.0,0.0,65.39327371057408,,,,62.82286933989391,41.14881343350952,北方大陆四季型
乌鲁木齐,2020,43.8256,87.6168,366,8.546994535519126,13.322131147540984,3.642622950819672,9.679508196721311,4.840437158469945,-3.70655737704918,49.849726775956285,154.2,0.421311475409836,89,0,18.983060109289617,34.56475409836066,35,41,9.66818209623558,304,12,15.702103825136613,51,2,144,104,,,,,,,,0.0,0.0,0.0,0.0,64.85592986919575,,,,65.3914062286014,42.61034683268096,北方大陆四季型
乌鲁木齐,2021,43.8256,87.6168,365,8.32931506849315,13.317534246575342,3.3071232876712324,10.01041095890411,4.683287671232877,-3.6460273972602737,51.18082191780822,232.1,0.6358904109589041,87,0,19.177260273972603,34.38219178082192,33,41,9.377135502283105,290,23,15.486794520547946,58,11,155,114,,,,,,,,0.0,0.0,0.0,0.0,63.8095990906731,,,,63.965335953323695,42.4986224212784,北方大陆四季型
乌鲁木齐,2022,43.8256,87.6168,365,8.907945205479452,13.742739726027398,4.070136986301369,9.672602739726027,5.279178082191781,-3.628767123287671,51.04657534246575,203.0,0.5561643835616439,102,0,19.175068493150683,33.50164383561644,32,37,9.163422321156771,276,25,15.391013698630138,63,12,140,98,,,,,,,,0.0,0.0,0.0,0.0,64.56797649663494,,,,62.903038962102045,40.880374890538135,北方大陆四季型
乌鲁木齐,2023,43.8256,87.6168,365,8.928493150684933,13.929589041095891,3.9457534246575343,9.983835616438355,5.438082191780822,-3.4904109589041097,52.276712328767125,220.5,0.6041095890410959,115,0,19.35150684931507,33.32849315068493,31,31,9.04239805175038,266,28,15.1946301369863,57,18,137,94,55.60190639269407,153.20295662100455,472.7380136986301,42.10537671232876,14.918184931506849,50.19360730593608,224.31792237442923,160.0,87.0,280.0,9.0,64.44804299967896,87.39795197240076,71.33301569149549,12.60204802759924,60.9365956642816,52.179388524365024,北方大陆四季型
乌鲁木齐,2024,43.8256,87.6168,366,8.441530054644808,13.284426229508195,3.5224043715847,9.762021857923498,5.26448087431694,-3.177049180327869,56.99180327868852,299.7,0.8188524590163934,116,0,18.40983606557377,32.51502732240437,27,31,9.08101123254402,270,30,15.160819672131147,59,19,134,115,57.72752732240438,210.3354735883424,483.471766848816,34.21683743169399,12.254212204007288,52.90482695810565,394.94706284153006,119.0,78.0,263.0,7.0,65.0424626031262,86.47434525888391,71.47202739985352,13.525654741116083,60.48763877349393,51.99800835828297,北方大陆四季型
