city,year,season,lat,lon,records,avg_temp,avg_temp_max,avg_temp_min,avg_temp_range,avg_apparent_temp,avg_apparent_gap,avg_humidity,total_precipitation,avg_precipitation,rainy_days,heavy_rain_days,avg_wind,avg_wind_gust,windy_days,gusty_days,avg_sunshine_hour,sunny_days,low_sunshine_days,avg_shortwave,hot_days,extreme_hot_days,cold_days,freezing_days,avg_pm25,avg_pm10,avg_co,avg_no2,avg_so2,avg_ozone,avg_dust,good_air_days,polluted_days,dusty_days,ozone_high_days,climate_comfort_index,air_quality_score,tourism_comfort_index,pollution_index,summer_escape_index,winter_retirement_index,city_type
南京,2019,春季,32.0603,118.7969,92,16.217391304347824,21.253260869565217,11.529347826086957,9.72391304347826,14.97391304347826,-1.2434782608695654,68.04347826086956,163.5,1.7771739130434785,34,2,16.554347826086957,32.323913043478264,1,3,7.866370078502415,59,19,16.381521739130434,3,0,0,0,,,,,,,,0.0,0.0,0.0,0.0,75.82531142002902,,,,,,湿润宜居综合型
南京,2019,夏季,32.0603,118.7969,92,26.706521739130437,30.541304347826088,23.220652173913045,7.320652173913044,30.38369565217392,3.677173913043478,76.67391304347827,265.3,2.883695652173913,53,2,15.322826086956525,30.63478260869565,2,4,9.24195440821256,64,10,18.62108695652174,53,6,0,0,,,,,,,,0.0,0.0,0.0,0.0,74.62308798210894,,,,46.17136220470488,,湿润宜居综合型
南京,2019,冬季,32.0603,118.7969,90,4.883333333333334,8.94111111111111,1.2633333333333334,7.677777777777778,1.5166666666666666,-3.3666666666666667,76.53333333333333,178.6,1.9844444444444445,42,0,14.48,28.25222222222222,1,1,5.040798240740741,35,36,7.851,0,0,30,0,,,,,,,,0.0,0.0,0.0,0.0,52.91838843010878,,,,,66.55325229526228,湿润宜居综合型
南京,2020,秋季,32.0603,118.7969,91,17.505494505494507,21.531868131868134,14.064835164835166,7.467032967032967,17.343956043956045,-0.1615384615384614,75.0,209.4,2.3010989010989014,40,2,13.649450549450547,27.85824175824176,0,2,7.531974023199023,57,18,12.537032967032966,7,0,0,0,,,,,,,,0.0,0.0,0.0,0.0,76.28288237245417,,,,,,湿润宜居综合型
南京,2020,春季,32.0603,118.7969,92,16.39673913043478,21.45978260869565,11.59891304347826,9.860869565217392,15.119565217391305,-1.2771739130434785,67.6304347826087,160.5,1.7445652173913044,37,0,17.706521739130434,34.620652173913044,1,4,8.17924658816425,58,17,16.779673913043478,7,0,0,0,,,,,,,,0.0,0.0,0.0,0.0,75.14143347740979,,,,,,湿润宜居综合型
南京,2020,夏季,32.0603,118.7969,92,26.55434782608696,29.78695652173913,23.64021739130435,6.146739130434782,30.816304347826087,4.261956521739131,82.6413043478261,875.9,9.520652173913044,69,13,16.246739130434783,33.24239130434783,2,3,7.009034269323672,45,25,15.088478260869566,46,1,0,0,,,,,,,,0.0,0.0,0.0,0.0,72.16066110639866,,,,43.903537116244586,,湿润宜居综合型
南京,2020,冬季,32.0603,118.7969,91,5.451648351648352,9.497802197802198,2.007692307692308,7.49010989010989,2.110989010989011,-3.340659340659341,74.65934065934066,149.7,1.645054945054945,38,0,15.038461538461538,29.790109890109893,1,3,5.341869261294262,35,31,8.323516483516483,0,0,26,2,,,,,,,,0.0,0.0,0.0,0.0,54.4282108081956,,,,,67.83839635352359,湿润宜居综合型
南京,2021,秋季,32.0603,118.7969,91,18.701098901098906,23.21098901098901,14.731868131868133,8.47912087912088,18.99230769230769,0.2912087912087914,74.75824175824175,166.0,1.824175824175824,33,0,16.053846153846155,30.651648351648355,2,6,8.323242582417583,66,12,13.504285714285716,18,0,1,0,,,,,,,,0.0,0.0,0.0,0.0,73.85454658187118,,,,,,湿润宜居综合型
南京,2021,春季,32.0603,118.7969,92,16.256521739130434,20.63586956521739,12.18913043478261,8.446739130434782,15.40108695652174,-0.8554347826086959,73.67391304347827,298.7,3.2467391304347823,47,3,16.64021739130435,32.61630434782609,1,4,6.426826781400967,45,31,14.97358695652174,5,0,0,0,,,,,,,,0.0,0.0,0.0,0.0,73.98610465260592,,,,,,湿润宜居综合型
南京,2021,夏季,32.0603,118.7969,92,26.835869565217397,30.42391304347826,23.721739130434784,6.702173913043478,30.946739130434786,4.110869565217391,80.46739130434783,628.5,6.831521739130435,65,9,15.846739130434784,32.130434782608695,4,7,8.137087620772947,53,17,17.17054347826087,59,0,0,0,,,,,,,,0.0,0.0,0.0,0.0,72.54346006492975,,,,43.27339679583178,,湿润宜居综合型
