time,pm2_5,pm10,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,dust,city,lat,lon,year,month,day,season
2023-06-14,29.566666666666663,66.74166666666666,224.95833333333331,27.058333333333334,9.991666666666667,92.08333333333331,76.875,乌鲁木齐,43.8256,87.6168,2023,6,14,summer
2023-06-15,34.84583333333333,73.625,214.41666666666663,23.34166666666667,12.2625,88.625,72.04166666666667,乌鲁木齐,43.8256,87.6168,2023,6,15,summer
2023-06-16,28.741666666666664,70.39166666666667,181.33333333333331,16.858333333333334,7.895833333333333,90.625,89.875,乌鲁木齐,43.8256,87.6168,2023,6,16,summer
2023-06-17,27.620833333333334,47.9625,272.375,26.5625,9.308333333333334,79.66666666666667,33.916666666666664,乌鲁木齐,43.8256,87.6168,2023,6,17,summer
2023-06-18,24.45,41.99583333333333,211.33333333333331,10.758333333333333,9.179166666666667,100.125,24.541666666666668,乌鲁木齐,43.8256,87.6168,2023,6,18,summer
2023-06-19,30.59166666666667,56.725,201.5,11.783333333333331,10.845833333333331,103.41666666666669,45.458333333333336,乌鲁木齐,43.8256,87.6168,2023,6,19,summer
2023-06-20,29.275,64.83333333333333,170.79166666666666,10.158333333333331,10.079166666666667,116.91666666666669,74.54166666666667,乌鲁木齐,43.8256,87.6168,2023,6,20,summer
2023-06-21,27.258333333333336,64.7375,162.25,13.366666666666667,7.9125,110.45833333333331,79.95833333333333,乌鲁木齐,43.8256,87.6168,2023,6,21,summer
2023-06-22,21.029166666666665,43.2875,183.54166666666663,20.941666666666663,7.279166666666666,99.83333333333331,44.54166666666666,乌鲁木齐,43.8256,87.6168,2023,6,22,summer
2023-06-23,21.525,52.54583333333333,188.625,23.9875,6.845833333333334,98.83333333333331,65.66666666666667,乌鲁木齐,43.8256,87.6168,2023,6,23,summer
2023-06-24,26.34166666666667,67.42083333333333,243.58333333333331,37.641666666666666,10.870833333333332,74.875,87.79166666666667,乌鲁木齐,43.8256,87.6168,2023,6,24,summer
2023-06-25,18.966666666666665,37.5625,218.29166666666663,31.45,7.941666666666666,75.25,32.583333333333336,乌鲁木齐,43.8256,87.6168,2023,6,25,summer
2023-06-26,19.10833333333333,45.54583333333333,176.45833333333334,23.72083333333333,6.395833333333333,69.45833333333333,54.0,乌鲁木齐,43.8256,87.6168,2023,6,26,summer
2023-06-27,16.195833333333333,37.8375,185.66666666666663,17.620833333333334,7.654166666666666,90.04166666666667,43.083333333333336,乌鲁木齐,43.8256,87.6168,2023,6,27,summer
2023-06-28,114.69583333333333,497.825,253.91666666666663,20.2,5.591666666666666,88.29166666666667,1023.6666666666666,乌鲁木齐,43.8256,87.6168,2023,6,28,summer
2023-06-29,38.29166666666666,224.25,186.58333333333331,8.220833333333333,3.6833333333333336,96.54166666666669,521.7083333333334,乌鲁木齐,43.8256,87.6168,2023,6,29,summer
2023-06-30,25.4625,107.97916666666669,189.91666666666663,9.6375,4.5,92.20833333333331,212.70833333333331,乌鲁木齐,43.8256,87.6168,2023,6,30,summer
2023-07-01,36.125,173.3125,240.29166666666663,20.7,7.2875,71.91666666666667,375.4166666666667,乌鲁木齐,43.8256,87.6168,2023,7,1,summer
2023-07-02,43.46666666666667,291.1666666666667,191.91666666666663,12.545833333333334,4.733333333333333,89.0,683.0833333333334,乌鲁木齐,43.8256,87.6168,2023,7,2,summer
2023-07-03,97.76666666666668,432.56666666666666,261.0833333333333,22.0375,5.2250000000000005,76.45833333333333,889.6666666666666,乌鲁木齐,43.8256,87.6168,2023,7,3,summer
2023-07-04,106.125,525.1666666666666,252.04166666666663,20.23333333333333,6.558333333333334,86.125,1142.0,乌鲁木齐,43.8256,87.6168,2023,7,4,summer
2023-07-05,40.395833333333336,252.26666666666668,199.79166666666663,11.320833333333333,4.966666666666667,98.95833333333331,575.4166666666666,乌鲁木齐,43.8256,87.6168,2023,7,5,summer
2023-07-06,38.46666666666667,221.0625,220.66666666666663,15.9125,5.908333333333334,88.875,492.625,乌鲁木齐,43.8256,87.6168,2023,7,6,summer
2023-07-07,28.84166666666667,167.57916666666668,225.70833333333331,16.833333333333332,6.070833333333333,90.83333333333331,356.5416666666667,乌鲁木齐,43.8256,87.6168,2023,7,7,summer
2023-07-08,29.325,140.97916666666666,228.16666666666663,17.154166666666665,5.895833333333333,89.16666666666667,277.125,乌鲁木齐,43.8256,87.6168,2023,7,8,summer
2023-07-09,21.991666666666664,88.04166666666667,205.58333333333331,12.254166666666668,5.9750000000000005,98.58333333333331,177.33333333333334,乌鲁木齐,43.8256,87.6168,2023,7,9,summer
2023-07-10,20.4875,63.80416666666667,204.58333333333331,13.1625,6.15,95.04166666666669,116.83333333333331,乌鲁木齐,43.8256,87.6168,2023,7,10,summer
2023-07-11,32.52916666666667,209.45416666666665,191.04166666666663,13.0375,5.233333333333333,87.20833333333333,496.875,乌鲁木齐,43.8256,87.6168,2023,7,11,summer
2023-07-12,57.3,330.68333333333334,206.54166666666663,15.6125,4.75,88.875,741.6666666666666,乌鲁木齐,43.8256,87.6168,2023,7,12,summer
2023-07-13,93.975,419.5625,237.04166666666663,21.320833333333333,5.9750000000000005,79.33333333333333,878.5833333333334,乌鲁木齐,43.8256,87.6168,2023,7,13,summer
2023-07-14,81.27916666666667,399.3208333333334,248.04166666666663,21.2375,7.2,92.875,900.125,乌鲁木齐,43.8256,87.6168,2023,7,14,summer
2023-07-15,81.07083333333334,414.95416666666665,218.25,17.129166666666666,5.95,102.375,959.3333333333334,乌鲁木齐,43.8256,87.6168,2023,7,15,summer
2023-07-16,57.21666666666667,325.9291666666667,219.79166666666663,16.258333333333333,5.45,92.83333333333331,742.7916666666666,乌鲁木齐,43.8256,87.6168,2023,7,16,summer
2023-07-17,20.29583333333333,130.875,211.875,16.520833333333332,5.616666666666666,79.66666666666667,295.0,乌鲁木齐,43.8256,87.6168,2023,7,17,summer
2023-07-18,22.745833333333334,122.27916666666664,228.625,20.341666666666665,7.020833333333333,78.45833333333333,289.2083333333333,乌鲁木齐,43.8256,87.6168,2023,7,18,summer
2023-07-19,49.645833333333336,275.175,222.45833333333331,18.70833333333333,5.820833333333333,95.58333333333331,631.2916666666666,乌鲁木齐,43.8256,87.6168,2023,7,19,summer
2023-07-20,61.9375,370.95,211.125,15.9625,6.829166666666667,94.625,871.125,乌鲁木齐,43.8256,87.6168,2023,7,20,summer
2023-07-21,19.604166666666668,68.875,189.45833333333331,12.954166666666666,5.291666666666667,98.625,126.04166666666669,乌鲁木齐,43.8256,87.6168,2023,7,21,summer
2023-07-22,35.487500000000004,203.60833333333332,206.08333333333331,15.95,6.275,95.41666666666669,467.5416666666667,乌鲁木齐,43.8256,87.6168,2023,7,22,summer
2023-07-23,66.12916666666666,336.27500000000003,225.125,18.98333333333333,6.470833333333334,92.375,788.4166666666666,乌鲁木齐,43.8256,87.6168,2023,7,23,summer
2023-07-24,36.1,219.65,215.41666666666663,16.295833333333334,5.875,99.91666666666669,523.3333333333334,乌鲁木齐,43.8256,87.6168,2023,7,24,summer
